Título,Comentario,Puntaje
Apartamento en el centro turistico en Ubeda,"Quisimos hacer una reserva en Úbeda (Jaén), nos quisimos poner en contacto con el anfitrión (Antonio Jesus) para que nos diera la dirección exacta del apartamento ya que en el mapa del anuncio solo pone un punto pero no pone la dirección, no ha habido forma de contactar con él, es más, hemos estado en ese punto y no existe apartamento ninguno y me parece una estafa, hemos tratado de ponernos en contacto con Airbnb y no hemos tenido respuesta de nada, yo creo que la foto de Antonio Jesus que está en el anuncio no corresponde al anfitrión.Me gustaría que les hicieran quitar ese anuncio hasta no aclarar la situación, no sentirse timado, muchas gracias por dejarme escribir esta reseña.",Valorada con 1 estrellas sobre 5
Tan sinvergüenzas como el anfitrión o más,"Reservamos un alojamiento en Estambul que resultó estar a medio reformar (baño inacabado sin mampara, con tubos saliendo de las paredes sin acabar y una cisterna sin agua) y una supuesta cocina que de cocina sólo tenía el nombre (sin fuegos, sin microondas y sin absolutamente nada de nada de equipamiento ni cubiertos, ni vasos, ni una sola cazuela CERO NADA DE NADA) y lo pusimos en conocimiento de los inútiles de atención al cliente de Airbnb (enviando todas las fotos) y resultaron ser más sinvergüenzas si eso es posible que el impresentable del anfitrión. Respuesta de atención al cliente de Airbnb: el baño lo consideraban correcto porque la cisterna no la podían comprobar ellos mismos y la cocina según ellos estaba equipada aunque no sé observara ni un triste tenedor o vaso.. porque como en el anuncio no hacía constar que hubiera utensilios.. los muebles estaban.. 😳 es decir, toman por imbéciles a todos sus huéspedes.Desde cuándo y en cual de sus anuncios hay un inventario de lo que tiene la ""cocina""?? Les parece normal que no tenga nada y no tenga ni fuegos ni microondas?? Señores imbéciles serán ustedes en todo caso que son más sinvergüenzas que el anfitrión que también es un listo.IMPRESENTABLES Y ESTAFADORES AIRBNB",Valorada con 1 estrellas sobre 5
La peor experiencia de mi vida no lo…,"La peor experiencia de mi vida no lo recomiendo, te dejan tirado nadie soluciona nada, les falta actualizarse en el mercado no saben cómo funciona el mercado y sus clientes",Valorada con 1 estrellas sobre 5
Airbnb ME PARECEN UNOS SINVERGÜENZAS,"Airbnb me parecen unos sinvergüenzas de primera clase insuperables.Tratan mal a los clientes y peor a los propietarios.Sólo tienen afán recaudatorio y se dedican permanentemente a amenazar a sus clientes ya sean hospedados o bien propietarios. Mi propiedad ha dejado de estar en las listas de Airbnb por SINVERGÜENZAS. No te recomiendo que uses la plataforma, la cual va a menos y se vale de cobrar comisiones a sus clientes que si llamas al propietario de forma directa te ahorras cerca de un 15% o más, en cada reserva. Caterva de usureros.",Valorada con 1 estrellas sobre 5
francia,"Durante una reciente estancia en Francia, reservamos alojamiento a través de la plataforma Airbnb. Aunque finalmente pudimos hospedarnos satisfactoriamente en un apartamento, experimentamos previamente la cancelación injustificada de dos reservas confirmadas. En ambos casos, los anfitriones alegaron que habían olvidado actualizar la disponibilidad de sus inmuebles: uno afirmó que el apartamento ya estaba alquilado, y otro que lo utilizaría con su familia durante las fechas reservadas.Estas cancelaciones se produjeron sin justificación objetiva ni proporcional, a pesar de que las fechas estaban correctamente seleccionadas y las reservas habían sido confirmadas conforme a los términos y condiciones de Airbnb. Ante la reiteración de este patrón y considerando que somos ciudadanos españoles, surge la fundada sospecha de que tales cancelaciones pudieran estar motivadas por una discriminación por razón de nacionalidad, vulnerando así principios fundamentales del derecho europeo.Cabe recordar que el artículo 18 del Tratado de Funcionamiento de la Unión Europea (TFUE) prohíbe toda discriminación por razón de nacionalidad en el ámbito de aplicación de los Tratados, sin perjuicio de disposiciones específicas contenidas en los mismos. Asimismo, la Carta de los Derechos Fundamentales de la Unión Europea, en su artículo 21, prohíbe expresamente cualquier forma de discriminación, incluida la basada en la nacionalidad.Tras presentar la correspondiente reclamación a Airbnb, la plataforma no ofreció una respuesta adecuada ni investigó suficientemente los hechos denunciados, lo que podría implicar una omisión de su responsabilidad como intermediario digital, conforme al Reglamento (UE) 2022/2065 (Ley de Servicios Digitales), que exige a las plataformas diligencia en la moderación de contenidos y prácticas discriminatorias.En virtud de lo anterior, no descarto elevar una queja formal ante la Comisión Europea o ante el Centro Europeo para la Prevención de la Discriminación, solicitando la investigación de las prácticas de esta plataforma en relación con la posible tolerancia de actos discriminatorios por parte de sus usuarios y la falta de respuesta adecuada ante reclamaciones fundadas.",Valorada con 3 estrellas sobre 5
"Cama insufrible, 0 compensación","Llegué a las 15:00. El colchón era como de un campo de concentración. Podías contar los 48 muelles que se clavaban por todo tu cuerpo, así que mandé un mensaje al anfitrión pidiendo cambio de colchón u otra habitación. A las 18:00 no había respondido, me fuí a un hotel y llamé a Airbnb explicando todo. Me dijeron que lo entendían, que me quedara tranquilo, que con lo que les había explicado era suficiente, hablarían con el Anfitrión y me avisarían. El anfitrión me escribió a los 2 días diciendo que iba a cambiar el colchón, pero yo ya no estaba en su alojamiento, le dije que quería el dinero. Puse la reclamación correspondiente, ya que mi llamada a Airbnb se perdió en el limbo. A la reclamación me contestaron que no tenían evidencias suficientes, ya que solo les mandé un video donde se me veía sentado en la cama y se escuchaba el ruido infernal de los muelles. Al final pagué alojamiento, pagué hotel y me borré de Airbnb... espero que si usan esta app no les pase algo así. Yo la próxima vez me iré a un hotel directamente, pagaré más pero no pagaré dos veces.",Valorada con 1 estrellas sobre 5
Lo peor que pueda pasar en tu vida…,"Si hubiera -10 lo pondría.Lo peor que pueda pasar en tu vida ,como huésped o como host es encontrar Airbnb en tu camino.Como host te tratan malísimo ojalá hubieran un cuarto de la profesionalidad de otras plataformas,como huésped estas en desamparo porque tanto es el afán de recaudar que aceptan de todo.En fin borrado de mi mapa y os deseo lo mismo.",Valorada con 1 estrellas sobre 5
Una experiencia decepcionante y nada…,"Una experiencia decepcionante y nada recomendable – NO reserven a través de AIRB&B.Íbamos a hospedarnos en el Art Hotel en Nueva York para disfrutar de nuestra luna de miel. Habíamos hecho la reserva con mucha antelación, pero menos de 20 días antes de la llegada, nos comunicaron que la cancelaban debido a un supuesto problema con las regulaciones de la ciudad. No nos ofrecieron ninguna explicación concreta ni alternativa. Tuvimos que buscar otro alojamiento en solo dos días, con precios altísimos y una enorme carga de estrés en un momento que se suponía especial.Para colmo, dos días después el propio hotel se puso en contacto con nosotros para decirnos que el problema ya estaba resuelto y que podíamos volver a reservar. Sin embargo, ya habíamos iniciado el proceso de reembolso con Airbnb. En ningún momento se nos ofreció ningún tipo de compensación por parte del hotel por el daño causado: ni un descuento, ni un upgrade de habitación, ni siquiera el desayuno incluido. Nada.Airbnb solo nos ofreció un cupón de 190€, cuando el alojamiento original nos había costado cerca de 2.000€ por una semana. El trato, tanto por parte del hotel como de Airbnb fue decepcionante, insensible y totalmente impropio del nivel de servicio que uno espera en una ocasión tan especial como una luna de miel.No recomendaría bajo ningún concepto reservar este hotel, ni a través de Airbnb ni directamente. La falta de seriedad y de empatía ha sido total.",Valorada con 1 estrellas sobre 5
Soporte técnico que no te soluciona NADA,"BuevasTenía una tarjeta regalo de Air bnb que me regalaron el año pasado.Cuando he ido a canjearla se me habían borrado del ticket de compra los 3 últimos dígitos del pin.Contacté con atención al cliente de Air bnb con todos los datos de la tarjeta y ticket de compra con todos los códigos y me han tenido una semana mareandome sin hacer nada. Desconocían hasta el número de dígitos que tenía un pin de una tarjeta regalo...Impotencia total.Al final, escribí al corte inglés, que es donde adquirió la tarjeta y en 24 horas me lo han solucionado.Resumen.Como tengáis cualquier problema y tengais que contactar con el soporte técnico de Air bnb echáos a temblar. Es como hablar con una pared.Un saludo!",Valorada con 1 estrellas sobre 5
Si hubiera un 0 lo pondría,"Si hubiera un 0 lo pondría, era la primera vez, y nunca más. Nos cancelaron el mismo día. Cinco personas y alguna mayor tirados en Londres, y de momento no nos han devuelto el dinero.No hay excusas. Mal no, muy mal. Espero que como mínimo cancelen a este alojamiento para siempre. Seguramente acepto otra opción que le pagaba más.",Valorada con 1 estrellas sobre 5
Decepcion como anfitrion,"He sido anfitrión en exclusiva dissabte 6 años con vacaciones de 5 estrellas con un chalet con piscina en Mallorca y ahora cuando en España hemos de subir los datos sensibles personales de los clientes al ministerio del interior airbnb se desentiende. Son ellos quienes piden los datos de fotos, números de identificación, tipo de cargo si tarjeta o transferencia.. incluso el ministerio pide relación entre los huéspedes. Es obvio que el anfitrión no tiene protestad ni autoridad para pedir al huésped estos datos por ley de proteccion de datos ,ya que el contrato se hace entre ellos y el huésped que alli puede aceptar el uso de sus datos, no nosotros. Si la reserva se hace con una plataforma de alquileres vacacional es la plataforma la responsable de facilitarnos los datos de SUS CLIENTES . Nos obligan a incumplir una ley que es penal.Otra cosa sería si la reserva se hiciera directamente conmigo.Yo me largo antes de tener problemas.Además después de tener durante 6 años evaluaciones de 5 estrellas y ser durante años superhost mi primera reserva de abril vinieron un matrimonio con pruebas físicos cerebrales ya que se veían las cicatrices en cervicales y base de craneo de él y el resultado de la hemiplejia facial de ella y me valoraron con 2 porque decían que la casa olia , hacia sensación de humedad ( mi casa está en una isla pero hay deshumidifadores, calefaccion central, bomba de frío/calor) todos los medios para retirar esa sensación y no era el lujo que estaban. Realmente sois sentidos o percepciones estaban alterados y escribí a airbnb para que eliminara esa evaluación porque no se adjuntaba a la realidad y me bajaba la puntuación para ser superhost con todo el esfuerzo de mantenimiento para hacerla perfecta. No me hicieron caso ni por una solicitud ni por la otra.Muy decepcionadaCuando todo va bien perfecto pero si hay inconvenientes no están a la altura. Retiro mi propiedad de airbnb",Valorada con 1 estrellas sobre 5
